Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719712 function calls (699924 primitive calls) in 7.376 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      235    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      213    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      358    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    1.574    0.787 connectionpool.py:592(urlopen)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      945    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        1    0.000    0.000    0.313    0.313 connection.py:669(connect)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        2    0.000    0.000    1.575    0.788 adapters.py:613(send)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.123    0.123 connection.py:846(_ssl_wrap_socket_and_match_hostname)
       48    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      223    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
       42    0.000    0.000    0.415    0.010 models.py:816(generate)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
       60    0.000    0.000    0.000    0.000 element.py:2150(__init__)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       13    0.000    0.000    0.000    0.000 queue.py:180(get)
        2    0.000    0.000    0.001    0.000 adapters.py:359(build_response)
       98    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.001    0.000 _collections.py:240(__init__)
       70    0.000    0.000    0.000    0.000 css_parser.py:520(parse_tag_pattern)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
    62/58    0.000    0.000    0.001    0.000 typing.py:426(inner)
      265    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.002    0.001 parser.py:41(parse)
       21    0.000    0.000    0.001    0.000 typing.py:753(Union)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:46(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    76/42    0.000    0.000    0.105    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      150    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       12    0.000    0.000    0.000    0.000 queue.py:140(put)
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        4    0.000    0.000    0.000    0.000 feedparser.py:102(push)
      533    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       11    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        6    0.000    0.000    0.002    0.000 feedparser.py:178(_call_parse)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      179    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       60    0.000    0.000    0.014    0.000 element.py:2008(find_all)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       54    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.017    0.017 dammit.py:67(EntitySubstitution)
      162    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
