Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719621 function calls (699848 primitive calls) in 1.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      945    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      214    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       21    0.000    0.000    0.001    0.000 typing.py:753(Union)
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       70    0.000    0.000    0.000    0.000 css_parser.py:520(parse_tag_pattern)
       48    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
        2    0.000    0.000    0.003    0.001 parser.py:41(parse)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      223    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
      265    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
    76/42    0.000    0.000    0.099    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.017    0.017 dammit.py:67(EntitySubstitution)
    29/16    0.000    0.000    0.126    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      533    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        3    0.000    0.000    0.010    0.003 utils.py:1(<module>)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      179    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       12    0.000    0.000    0.000    0.000 queue.py:140(put)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       11    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
      137    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.104    0.104 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        2    0.000    0.000    0.019    0.010 connection.py:1(<module>)
      150    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        1    0.000    0.000    0.255    0.255 connection.py:669(connect)
       49    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        2    0.000    0.000    1.017    0.508 client.py:1384(getresponse)
       26    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      181    0.000    0.000    0.003    0.000 _parser.py:97(closegroup)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        3    0.000    0.000    0.001    0.000 request.py:2569(_proxy_bypass_macosx_sysconf)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
